run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-499.txt,2025_09_09_00:34:07,3.5217,2543.204,7.2215236e+08,7119.0104,0.12065139,0.00014256519,1.0365773e-05,1.5885968e-08,6.241275e-13,NaN,0.013239959,8.7684881e-05,-3.075986,0.0044241468,2.0998699e-08,1.7107776e-10,-0.00040307471,1.0909915e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-500.txt,2025_09_09_00:35:07,3.5217,2543.7011,7.2229353e+08,7247.0217,0.12112829,0.0013331845,1.0473043e-05,3.2673084e-08,2.0051263e-07,5.4595753e-07,0.013071282,8.4177036e-05,-2.635353,0.0042994923,2.0704286e-08,1.6410457e-10,-0.00032845597,1.1445014e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-501.txt,2025_09_09_00:36:07,3.5217,2543.6971,7.2229238e+08,7387.3259,0.11858421,0.00018153773,1.0457367e-05,2.0662105e-08,9.8061443e-09,NaN,0.0081936286,8.5578809e-05,-3.0368425,0.0070250235,2.9354664e-08,3.9418138e-10,-0.00053559696,1.370794e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-502.txt,2025_09_09_00:37:07,3.5217,2544.2738,7.2245615e+08,7285.7163,0.12396429,0.0020726361,1.057785e-05,4.9762993e-08,1.1765963e-06,8.1335385e-07,0.0073078177,9.1140775e-05,-2.966045,0.008393125,3.2205224e-08,5.2123566e-10,-0.00016916091,1.7122423e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-503.txt,2025_09_09_00:38:08,3.5217,2544.0284,7.2238646e+08,6929.4445,0.12102192,0.00013507332,1.0353162e-05,1.4997094e-08,5.1483916e-14,NaN,0.013242884,8.3914189e-05,-3.0829223,0.0042324196,2.0770959e-08,1.6163848e-10,-0.00042838047,1.035581e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-504.txt,2025_09_09_00:39:07,3.5217,2542.99,7.2209159e+08,7394.7883,0.11849634,0.00013667851,1.0513638e-05,1.5527266e-08,2.9653657e-09,NaN,0.012607203,8.3924101e-05,2.9837545,0.0044603165,2.050923e-08,1.669308e-10,-0.00042391894,1.0135428e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-505.txt,2025_09_09_00:40:08,3.5217,2543.5832,7.2226006e+08,6907.5915,0.11809203,0.00013570626,1.0485853e-05,1.5451495e-08,9.2238501e-14,NaN,0.012542411,8.1985339e-05,2.7430333,0.0043552433,2.108882e-08,1.6891959e-10,-0.00050681973,1.0103075e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-506.txt,2025_09_09_00:41:07,3.5217,2544.0892,7.2240373e+08,6520.5789,0.12687117,0.0030812265,1.0545091e-05,7.3902465e-08,2.421299e-06,1.1485869e-06,0.0071017448,0.00014046719,-2.0850587,0.013436201,3.1191139e-08,8.0259819e-10,-0.00033155174,2.6091366e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-507.txt,2025_09_09_00:42:08,3.5217,2544.924,7.2264078e+08,6835.9189,0.12757366,0.0021298785,1.0505658e-05,4.9821933e-08,1.5439538e-06,8.076428e-07,0.0075886991,9.3168957e-05,-2.9357849,0.0082696357,3.2891342e-08,5.2535025e-10,-0.00057482015,1.7856972e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-508.txt,2025_09_09_00:43:08,3.5217,2543.9123,7.2235348e+08,7455.0151,0.1177284,0.0013945529,1.0497742e-05,3.4778937e-08,2.8115859e-08,5.9110099e-07,0.012279084,8.552835e-05,-3.0823386,0.004640983,2.1063602e-08,1.8025486e-10,-0.00050162335,1.1698807e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-509.txt,2025_09_09_00:44:08,3.5217,2545.2407,7.227307e+08,6719.7007,0.12354869,0.0013299,1.0462279e-05,3.1765241e-08,5.7182733e-07,5.3180608e-07,0.011780144,7.6444494e-05,-3.1043732,0.0043306623,2.2992897e-08,1.8571032e-10,-0.00059667605,1.123859e-05
